Part number,Part name,Location,Price,Balance,Unit,Value,WH
101157,"Bucket CB3-S40 (W300mm/12"")",060504,673.99,1.00,Pcs,673.99,STD
101157,"Bucket CB3-S40 (W300mm/12"")",060502,673.99,3.00,Pcs,"2,021.97",STD
101157,"Bucket CB3-S40 (W300mm/12"")",060602,673.99,3.00,Pcs,"2,021.97",STD
101157,"Bucket CB3-S40 (W300mm/12"")",060503,673.99,5.00,Pcs,"3,369.95",STD
101157,"Bucket CB3-S40 (W300mm/12"")",060603,673.99,1.00,Pcs,673.99,STD
101158,"Bucket CB3C-S40 (W400/200mm/16/8"")",060502,731.72,1.00,Pcs,731.72,STD
101160,"Bucket CB5-S40 (W300mm/12"")",060602,750.65,1.00,Pcs,750.65,STD
101160,"Bucket CB5-S40 (W300mm/12"")",060404,750.65,1.00,Pcs,750.65,STD
101162,"Bucket CB5-S40 (W400mm/16"")",060703,784.47,1.00,Pcs,784.47,STD
101170,"Bucket CB6-S50 (W400mm/16"")",060701,925.14,3.00,Pcs,"2,775.42",STD
101170,"Bucket CB6-S50 (W400mm/16"")",060702,925.14,1.00,Pcs,925.14,STD
101171,"Bucket CB6-S50 (W450mm/18"")",060702,978.52,1.00,Pcs,978.52,STD
101176,"Bucket CB9-S50 (W400mm/16"")",070301,"1,137.28",1.00,Pcs,"1,137.28",STD
101176,"Bucket CB9-S50 (W400mm/16"")",070503,"1,137.28",1.00,Pcs,"1,137.28",STD
101176,"Bucket CB9-S50 (W400mm/16"")",060401,"1,137.28",1.00,Pcs,"1,137.28",STD
101176,"Bucket CB9-S50 (W400mm/16"")",070602,"1,137.28",3.00,Pcs,"3,411.84",STD
101179,"Bucket CB9C-S50 (W400/200mm/16/8"")",060601,994.06,1.00,Pcs,994.06,STD
101185,"Bucket CB15-S60 (W500mm/20"")",ZONE 6,"2,222.78",3.00,Pcs,"6,668.34",STD
101302,"Bucket DB5T-S40 (W900mm/35"")",070701,"1,509.43",1.00,Pcs,"1,509.43",STD
101317,"Bucket, GB9-S50 (W1219mm/48"")",ZONE 2,"2,070.97",1.00,Pcs,"2,070.97",STD
101329,"Bucket, DB15T-S60 (W610mm/24"")",ZONE 6,"2,499.00",2.00,Pcs,"4,998.00",STD
110015,Tilt Shaft Axial Locking Plate X26,810605,6.18,1.00,Pcs,6.18,STD
110018,Bearing Axial X20/X26,800602,93.68,4.00,Pcs,374.72,STD
110021,Bearing Axial X18,800602,67.20,5.00,Pcs,336.00,STD
110024,Bearing Axial X12,800604,42.24,4.00,Pcs,168.96,STD
200536,"Tilt Shaft Axial Locking Plate, X12",810605,4.23,6.00,Pcs,25.38,STD
200540,Tilt Shaft Axial Locking Plate X18,810605,3.41,7.00,Pcs,23.87,STD
200761,Shaft Cylinder Support,810406,9.22,11.00,Pcs,101.42,STD
200762,Shaft Cylinder,810406,5.57,2.00,Pcs,11.14,STD
